,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
75,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,30,1988,35,30,2715,0,1,0,0,10,0,0,0.03,0.03,0,0.03,0.4,0.4,1.2,0.01,0.04,0.05,0.01,0.05,Matches
76,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,26,1992,25,24,2023,0,1,0,0,11,1,0,0.04,0.04,0,0.04,0.2,0.2,0.6,0.01,0.03,0.03,0.01,0.03,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,23,1995,21,20,1632,2,0,0,0,11,2,0.11,0,0.11,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,Matches
78,Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,32,1985,24,21,1897,0,0,0,0,6,2,0,0,0,0,0,1.3,1.3,0.4,0.06,0.02,0.08,0.06,0.08,Matches
79,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,27,1991,32,31,2794,2,0,0,0,11,1,0.06,0,0.06,0.06,0.06,1.9,1.9,0.4,0.06,0.01,0.08,0.06,0.08,Matches
80,Jordi Calavera\Jordi-Calavera,es ESP,DF,Eibar,22,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Fernando Calero\Fernando-Calero,es ESP,DF,Valladolid,22,1995,36,35,3130,1,0,0,0,7,0,0.03,0,0.03,0.03,0.03,0.6,0.6,0.2,0.02,0.01,0.02,0.02,0.02,Matches
82,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Alavés,24,1993,34,33,2869,9,2,2,2,6,0,0.28,0.06,0.35,0.22,0.28,7.2,5.7,2.1,0.23,0.07,0.29,0.18,0.25,Matches
83,Juanjo Camacho\Juanjo-Camacho,es ESP,MF,Huesca,37,1980,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.2,0.76,0.96,0.2,0.96,Matches
84,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,17,2001,1,0,45,1,0,0,0,0,0,2,0,2,2,2,0.6,0.6,0.1,1.15,0.17,1.32,1.15,1.32,Matches
85,José Campaña\Jose-Campana,es ESP,MF,Levante,25,1993,36,36,3210,4,9,0,0,11,0,0.11,0.25,0.36,0.11,0.36,1.5,1.5,4,0.04,0.11,0.15,0.04,0.15,Matches
86,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,27,1991,32,30,2655,7,2,2,2,5,0,0.24,0.07,0.31,0.17,0.24,6.7,5.2,5.8,0.23,0.2,0.42,0.18,0.37,Matches
87,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,26,1992,25,17,1642,0,0,0,0,9,0,0,0,0,0,0,0.6,0.6,1,0.03,0.05,0.08,0.03,0.08,Matches
88,Marc Cardona\Marc-Cardona,es ESP,FWMF,Eibar,23,1995,17,6,604,3,1,0,0,1,0,0.45,0.15,0.6,0.45,0.6,2.7,2.7,0.6,0.41,0.1,0.5,0.41,0.5,Matches
89,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,29,1988,24,24,2130,1,1,0,0,10,0,0.04,0.04,0.08,0.04,0.08,0.7,0.7,0.7,0.03,0.03,0.06,0.03,0.06,Matches
90,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,27,1991,32,23,1992,6,1,1,3,5,0,0.27,0.05,0.32,0.23,0.27,8.6,6.3,1.3,0.39,0.06,0.45,0.29,0.35,Matches
91,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,26,1992,24,23,2107,1,2,0,0,10,0,0.04,0.09,0.13,0.04,0.13,0.4,0.4,3.2,0.02,0.14,0.16,0.02,0.16,Matches
