,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
488,Denis Suárez\Denis-Suarez,es ESP,MF,Barcelona,24,1994,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,1.56,0.41,1.97,1.56,1.97,Matches
489,Leonardo Suárez\Leonardo-Suarez,ar ARG,FWMF,Valladolid,22,1996,12,7,517,2,0,0,0,0,0,0.35,0,0.35,0.35,0.35,1.9,1.9,0.4,0.33,0.07,0.4,0.33,0.4,Matches
490,Luis Suárez\Luis-Suarez,uy URU,FW,Barcelona,31,1987,33,31,2827,21,6,4,4,5,0,0.67,0.19,0.86,0.54,0.73,21,18,6.5,0.67,0.21,0.88,0.57,0.78,Matches
491,Mario Suárez\Mario-Suarez,es ESP,MF,Rayo Vallecano,31,1987,14,11,1026,2,0,0,0,5,0,0.18,0,0.18,0.18,0.18,0.9,0.9,0.6,0.08,0.06,0.14,0.08,0.14,Matches
492,Markel Susaeta\Markel-Susaeta,es ESP,FW,Athletic Club,30,1987,22,15,1379,1,2,0,0,4,1,0.07,0.13,0.2,0.07,0.2,0.7,0.7,2.3,0.04,0.15,0.2,0.04,0.2,Matches
493,Rodrigo Tarín\Rodrigo-Tarin,es ESP,DF,Leganés,22,1996,18,15,1429,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0,0.02,0,0.02,0.02,0.02,Matches
494,Cristian Tello\Cristian-Tello,es ESP,DFMF,Betis,26,1991,29,13,1573,4,6,0,0,3,0,0.23,0.34,0.57,0.23,0.57,3,3,2.7,0.17,0.16,0.33,0.17,0.33,Matches
495,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,26,1992,35,35,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
496,David Timor\David-Timor,es ESP,MFFW,Girona,28,1989,2,2,163,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.04,0.09,0.05,0.09,Matches
497,Tito\Tito,es ESP,DF,Rayo Vallecano,33,1985,15,12,1098,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.01,0.01,0.02,0.01,0.02,Matches
498,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Barcelona,18,1999,2,2,157,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
499,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Villarreal,25,1992,34,24,2144,10,1,0,1,5,0,0.42,0.04,0.46,0.42,0.46,10.6,9.9,1.7,0.45,0.07,0.52,0.42,0.49,Matches
500,Raúl de Tomás\Raul-de-Tomas,es ESP,FW,Rayo Vallecano,23,1994,33,32,2813,14,1,0,0,5,0,0.45,0.03,0.48,0.45,0.48,12.3,12.3,1.8,0.39,0.06,0.45,0.39,0.45,Matches
501,Toño\Tono,es ESP,DFMF,Levante,28,1989,21,21,1763,2,2,0,0,4,0,0.1,0.1,0.2,0.1,0.2,1.3,1.3,1.5,0.06,0.07,0.14,0.06,0.14,Matches
502,Daniel Torres\Daniel-Torres,co COL,MF,Alavés,28,1989,2,1,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
503,Ferrán Torres\Ferran-Torres,es ESP,MFFW,Valencia,18,2000,24,8,850,2,1,0,0,5,0,0.21,0.11,0.32,0.21,0.32,1.6,1.6,1.5,0.17,0.16,0.33,0.17,0.33,Matches
504,Óscar Trejo\Oscar-Trejo,ar ARG,MFFW,Rayo Vallecano,30,1988,26,22,1764,1,4,1,1,7,1,0.05,0.2,0.26,0,0.2,2.2,1.4,2.4,0.11,0.12,0.23,0.07,0.2,Matches
505,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,26,1991,24,18,1547,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,1.3,0.04,0.08,0.11,0.04,0.11,Matches
506,Patrick Twumasi\Patrick-Twumasi,gh GHA,MFFW,Alavés,24,1994,11,0,170,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.4,0.08,0.2,0.28,0.08,0.28,Matches
507,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,24,1993,14,13,1189,0,1,0,0,4,0,0,0.08,0.08,0,0.08,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches
508,Enes Ünal\Enes-Unal,tr TUR,FW,Valladolid,21,1997,33,24,2148,6,3,3,3,7,0,0.25,0.13,0.38,0.13,0.25,7.4,5.2,1,0.31,0.04,0.36,0.22,0.26,Matches
509,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,29,1989,33,33,2970,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
510,Valery\Valery,es ESP,DFMF,Girona,18,1999,17,10,888,0,1,0,0,2,0,0,0.1,0.1,0,0.1,0.1,0.1,0.8,0.01,0.08,0.09,0.01,0.09,Matches
511,Jesús Vallejo\Jesus-Vallejo,es ESP,DFMF,Real Madrid,21,1997,5,4,311,1,0,0,0,1,1,0.29,0,0.29,0.29,0.29,0.8,0.8,0,0.22,0,0.22,0.22,0.22,Matches
512,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,20,1998,16,6,656,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.4,0.02,0.06,0.07,0.02,0.07,Matches
513,Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,25,1993,32,31,2754,2,0,0,0,0,1,0.07,0,0.07,0.07,0.07,2,2,0.2,0.07,0.01,0.07,0.07,0.07,Matches
514,Franco Vázquez\Franco-Vazquez,ar ARG,MFFW,Sevilla,29,1989,34,26,2280,3,4,0,0,8,1,0.12,0.16,0.28,0.12,0.28,5.1,5.1,4.2,0.2,0.17,0.37,0.2,0.37,Matches
515,Kevin Vázquez\Kevin-Vazquez,es ESP,DF,Celta Vigo,25,1993,4,2,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
516,Lucas Vázquez\Lucas-Vazquez,es ESP,FW,Real Madrid,27,1991,31,15,1510,1,3,0,0,6,1,0.06,0.18,0.24,0.06,0.24,2.6,2.6,4,0.15,0.24,0.39,0.15,0.39,Matches
517,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,22,1995,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
518,Emiliano Velázquez\Emiliano-Velazquez,uy URU,DF,Rayo Vallecano,24,1994,18,14,1277,0,2,0,0,8,0,0,0.14,0.14,0,0.14,0.8,0.8,0.9,0.06,0.06,0.12,0.06,0.12,Matches
519,Daniele Verde\Daniele-Verde,it ITA,FWMF,Valladolid,22,1996,22,4,657,2,0,1,1,1,0,0.27,0,0.27,0.14,0.14,1.7,1,1.3,0.24,0.17,0.41,0.13,0.31,Matches
520,Thomas Vermaelen\Thomas-Vermaelen,be BEL,DF,Barcelona,32,1985,9,7,587,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,Matches
521,Mikel Vesga\Mikel-Vesga,es ESP,MF,Leganés,25,1993,26,23,2070,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,0.5,0.5,1.1,0.02,0.05,0.07,0.02,0.07,Matches
522,Rúben Vezo\Ruben-Vezo,pt POR,DF,Levante,24,1994,15,15,1339,2,1,0,0,4,0,0.13,0.07,0.2,0.13,0.2,0.6,0.6,0.8,0.04,0.06,0.1,0.04,0.1,Matches
523,Rúben Vezo\Ruben-Vezo,pt POR,DF,Valencia,24,1994,4,2,196,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.09,0.08,0.17,0.09,0.17,Matches
524,Aleix Vidal\Aleix-Vidal,es ESP,DFMF,Sevilla,28,1989,11,5,528,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,1.1,0.08,0.19,0.27,0.08,0.27,Matches
525,Arturo Vidal\Arturo-Vidal,cl CHI,MF,Barcelona,31,1987,33,22,1929,3,7,0,0,7,0,0.14,0.33,0.47,0.14,0.47,3.4,3.4,5,0.16,0.24,0.39,0.16,0.39,Matches
526,Carlos Vigaray\Carlos-Vigaray,es ESP,DF,Alavés,23,1994,8,7,647,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0,0.05,0.05,0,0.05,Matches
527,Dídac Vilà\Didac-Vila,es ESP,DF,Espanyol,29,1989,27,27,2354,0,2,0,0,11,0,0,0.08,0.08,0,0.08,2.5,2.5,2.9,0.1,0.11,0.21,0.1,0.21,Matches
528,Toni Villa\Toni-Villa,es ESP,MFFW,Valladolid,23,1995,26,21,1762,2,2,0,0,3,0,0.1,0.1,0.2,0.1,0.2,2.9,2.9,2.1,0.15,0.11,0.26,0.15,0.26,Matches
529,Vitolo\Vitolo,es ESP,MFFW,Atlético Madrid,28,1989,20,5,753,0,1,0,0,1,0,0,0.12,0.12,0,0.12,0.6,0.6,1.1,0.07,0.13,0.19,0.07,0.19,Matches
530,Nikola Vukčević\Nikola-Vukcevic,me MNE,MF,Levante,26,1991,16,9,670,0,0,0,0,5,1,0,0,0,0,0,0,0,0.2,0,0.03,0.03,0,0.03,Matches
531,Moussa Wagué\Moussa-Wague,sn SEN,DF,Barcelona,19,1998,3,2,225,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.05,0.16,0.21,0.05,0.21,Matches
532,Wakaso\Wakaso,gh GHA,MF,Alavés,28,1990,29,18,1669,1,1,0,0,9,0,0.05,0.05,0.11,0.05,0.11,1.3,1.3,0.5,0.07,0.03,0.09,0.07,0.09,Matches
533,Daniel Wass\Daniel-Wass,dk DEN,DFMF,Valencia,29,1989,32,26,2354,1,3,0,0,4,0,0.04,0.11,0.15,0.04,0.15,1.6,1.6,4.1,0.06,0.15,0.22,0.06,0.22,Matches
534,Axel Werner\Axel-Werner,ar ARG,GK,Huesca,22,1996,6,6,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
535,Iñaki Williams\Inaki-Williams,es ESP,FW,Athletic Club,24,1994,38,36,3025,12,4,0,0,3,0,0.36,0.12,0.48,0.36,0.48,12,12,2.7,0.36,0.08,0.44,0.36,0.44,Matches
536,Maximilian Wöber\Maximilian-Wober,at AUT,DF,Sevilla,20,1998,7,6,536,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.3,0.03,0.05,0.08,0.03,0.08,Matches
537,Yoel\Yoel,es ESP,GK,Valladolid,29,1988,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
538,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,Celta Vigo,24,1994,30,26,2198,2,0,0,0,10,0,0.08,0,0.08,0.08,0.08,1.7,1.7,0.5,0.07,0.02,0.09,0.07,0.09,Matches
539,Joseba Zaldúa\Joseba-Zaldua,es ESP,DF,Real Sociedad,26,1992,26,25,2139,1,2,0,0,7,0,0.04,0.08,0.13,0.04,0.13,0.1,0.1,2.6,0.01,0.11,0.12,0.01,0.12,Matches
540,Nabil El Zhar\Nabil-El-Zhar,ma MAR,MFFW,Leganés,31,1986,27,9,966,4,0,1,1,0,0,0.37,0,0.37,0.28,0.28,2.5,1.8,0.6,0.24,0.05,0.29,0.17,0.22,Matches
541,Luca Zidane\Luca-Zidane,fr FRA,GK,Real Madrid,20,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
542,Igor Zubeldia\Igor-Zubeldia,es ESP,MF,Real Sociedad,21,1997,33,29,2549,0,1,0,0,7,0,0,0.04,0.04,0,0.04,0.7,0.7,0.5,0.02,0.02,0.04,0.02,0.04,Matches
543,Martín Zubimendi\Martin-Zubimendi,es ESP,MF,Real Sociedad,19,1999,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.5,1.5,0,1.5,Matches
544,David Zurutuza\David-Zurutuza,es ESP,MFFW,Real Sociedad,32,1986,21,13,1222,2,0,0,0,2,0,0.15,0,0.15,0.15,0.15,1.5,1.5,0.3,0.11,0.02,0.14,0.11,0.14,Matches
