Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
89,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,29,29,2558,2,2,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,2.3,0.04,0.08,0.12,0.04,0.12,Matches
91,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,21,1997,13,8,723,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
92,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,27,1991,31,31,2786,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,1.1,1.1,1.2,0.03,0.04,0.07,0.03,0.07,Matches
93,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,29,1989,37,37,3312,1,2,0,0,6,0,0.03,0.05,0.08,0.03,0.08,1.7,1.7,1.6,0.05,0.04,0.09,0.05,0.09,Matches
94,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,24,1994,25,16,1341,1,2,0,0,3,0,0.07,0.13,0.2,0.07,0.2,2.5,2.5,1.6,0.17,0.11,0.27,0.17,0.27,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,28,1989,20,18,1589,0,1,0,0,1,0,0,0.06,0.06,0,0.06,0.5,0.5,1.1,0.03,0.06,0.09,0.03,0.09,Matches
96,Peter Crouch\Peter-Crouch,eng ENG,FW,Burnley,37,1981,6,0,92,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.36,0,0.36,0.36,0.36,Matches
97,Greg Cunningham\Greg-Cunningham,ie IRL,DF,Cardiff City,27,1991,7,7,630,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0,0.02,0.03,0,0.03,Matches
98,Diogo Dalot\Diogo-Dalot,pt POR,DFMF,Manchester Utd,19,1999,16,12,1013,0,2,0,0,3,0,0,0.18,0.18,0,0.18,0.4,0.4,1.7,0.04,0.15,0.19,0.04,0.19,Matches
99,Matty Daly\Matty-Daly,eng ENG,MF,Huddersfield,17,2001,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Loïc Damour\Loic-Damour,fr FRA,MF,Cardiff City,27,1991,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
101,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,31,1986,21,17,1585,1,0,0,0,4,0,0.06,0,0.06,0.06,0.06,0.5,0.5,1,0.03,0.05,0.09,0.03,0.09,Matches
102,Danilo\Danilo,br BRA,DF,Manchester City,27,1991,11,9,807,1,0,0,0,1,0,0.11,0,0.11,0.11,0.11,0.5,0.5,0.3,0.05,0.04,0.09,0.05,0.09,Matches
103,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,31,1987,10,7,663,0,1,0,0,1,0,0,0.14,0.14,0,0.14,0.3,0.3,0,0.04,0,0.04,0.04,0.04,Matches
104,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,28,1989,6,5,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
105,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,25,1993,27,20,1844,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,1.9,0.04,0.09,0.13,0.04,0.13,Matches
106,Tom Davies\Tom-Davies,eng ENG,MF,Everton,20,1998,16,10,980,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.5,0.03,0.05,0.08,0.03,0.08,Matches
107,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,33,1985,3,1,98,0,1,0,0,0,0,0,0.92,0.92,0,0.92,0,0,0.7,0,0.6,0.6,0,0.6,Matches
108,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,27,1991,19,11,975,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,2.1,2.1,3.5,0.2,0.32,0.52,0.2,0.52,Matches
109,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,30,1988,32,28,2545,9,5,1,1,4,1,0.32,0.18,0.5,0.28,0.46,9.3,8.5,4.7,0.33,0.17,0.5,0.3,0.47,Matches
110,Jermain Defoe\Jermain-Defoe,eng ENG,DFFW,Bournemouth,35,1982,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,1.6,0,1.6,1.6,1.6,Matches
111,Steven Defour\Steven-Defour,be BEL,MF,Burnley,30,1988,6,6,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
112,Fabian Delph\Fabian-Delph,eng ENG,DF,Manchester City,28,1989,11,8,725,0,1,0,0,1,1,0,0.12,0.12,0,0.12,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
113,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,31,1987,10,7,515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
114,Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,23,1995,19,17,1467,2,0,0,0,1,0,0.12,0,0.12,0.12,0.12,2.5,2.5,1.2,0.16,0.07,0.23,0.16,0.23,Matches
115,Laurent Depoitre\Laurent-Depoitre,be BEL,FW,Huddersfield,29,1988,23,10,1068,0,1,0,0,1,0,0,0.08,0.08,0,0.08,3.5,3.5,0.6,0.3,0.05,0.34,0.3,0.34,Matches
116,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,24,1994,30,26,2066,10,5,0,0,3,0,0.44,0.22,0.65,0.44,0.65,8.3,8.3,4.9,0.36,0.21,0.58,0.36,0.58,Matches
117,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FW,Leicester City,22,1995,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.24,0.24,0,0.24,Matches
118,Adama Diakhaby\Adama-Diakhaby,fr FRA,FWMF,Huddersfield,22,1996,12,6,552,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.4,0.14,0.07,0.21,0.14,0.21,Matches
119,Mohamed Diamé\Mohamed-Diame,sn SEN,MF,Newcastle Utd,31,1987,29,24,2166,0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,0,0.04,0,0.04,0.04,0.04,Matches
120,Grady Diangana\Grady-Diangana,eng ENG,FWMF,West Ham,20,1998,17,6,609,0,1,0,0,0,0,0,0.15,0.15,0,0.15,0.7,0.7,1.2,0.1,0.17,0.27,0.1,0.27,Matches
121,Eric Dier\Eric-Dier,eng ENG,MF,Tottenham,24,1994,20,18,1506,3,0,0,0,4,0,0.18,0,0.18,0.18,0.18,1.6,1.6,0.9,0.1,0.05,0.15,0.1,0.15,Matches
122,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,25,1993,35,33,2965,4,4,0,0,5,1,0.12,0.12,0.24,0.12,0.24,1.1,1.1,6.1,0.03,0.18,0.22,0.03,0.22,Matches
123,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,27,1991,38,38,3384,4,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,3.2,3.2,1.1,0.08,0.03,0.11,0.08,0.11,Matches
