Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
88,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,31,1987,16,12,997,0,1,0,0,3,0,0,0.09,0.09,0,0.09,0.7,0.7,0.4,0.06,0.04,0.1,0.06,0.1,Matches
89,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,22,1996,21,17,1378,6,4,0,0,2,0,0.39,0.26,0.65,0.39,0.65,3.8,3.8,3.4,0.25,0.22,0.47,0.25,0.47,Matches
90,Sergio Córdova\Sergio-Cordova,ve VEN,FW,Augsburg,20,1997,20,3,531,3,0,0,0,1,0,0.51,0,0.51,0.51,0.51,1.5,1.5,0.2,0.25,0.03,0.28,0.25,0.28,Matches
91,Danny da Costa\Danny-da-Costa,de GER,DFMF,Eint Frankfurt,25,1993,34,34,3033,2,4,0,0,1,0,0.06,0.12,0.18,0.06,0.18,3,3,3.9,0.09,0.11,0.2,0.09,0.2,Matches
92,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,M'Gladbach,18,1999,11,1,279,0,1,0,0,3,0,0,0.32,0.32,0,0.32,0.4,0.4,0.1,0.14,0.03,0.17,0.14,0.17,Matches
93,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,RB Leipzig,19,1999,25,9,853,2,0,0,0,1,0,0.21,0,0.21,0.21,0.21,3.5,3.5,0.9,0.37,0.1,0.46,0.37,0.46,Matches
94,Christoph Daferner\Christoph-Daferner,de GER,FW,Freiburg,20,1998,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,22,1996,14,7,697,1,0,0,0,2,0,0.13,0,0.13,0.13,0.13,0.7,0.7,0.8,0.09,0.11,0.2,0.09,0.2,Matches
96,Leon Dajaku\Leon-Dajaku,de GER,MFFW,Stuttgart,17,2001,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Kevin Danso\Kevin-Danso,at AUT,DF,Augsburg,19,1998,18,13,1247,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0,0.04,0,0.04,0.04,0.04,Matches
